date;from;until;activity;subgroup;program;floor;roomcategory;capacity;area;credits;usercount;totalstudents
20260324;133000;153000;Activerend hoorcollege;PBA-TIN-TI/2D;PBA-TIN-TI;3;laptoplokaal;38;70.04;4;NULL;10
20260421;133000;153000;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;3;laptoplokaal;38;70.04;4;NULL;30
20260421;133000;153000;Activerend hoorcollege;PBA-TIN-TI/2D;PBA-TIN-TI;3;laptoplokaal;38;70.04;4;NULL;10
20260505;133000;153000;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;3;laptoplokaal;38;70.04;4;NULL;30
20260505;133000;153000;Activerend hoorcollege;PBA-TIN-TI/2D;PBA-TIN-TI;3;laptoplokaal;38;70.04;4;NULL;10
20260519;133000;153000;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;3;laptoplokaal;38;70.04;4;NULL;30
20260519;133000;153000;Activerend hoorcollege;PBA-TIN-TI/2D;PBA-TIN-TI;3;laptoplokaal;38;70.04;4;NULL;10
20260211;133000;164500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;4;NULL;35
20260225;133000;164500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;4;NULL;35
20260304;133000;164500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;4;NULL;35
20260311;133000;164500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;4;NULL;35
20260318;133000;164500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;4;NULL;35
20260325;133000;164500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;4;NULL;35
20260401;133000;164500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;4;NULL;35
20260422;133000;164500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;4;NULL;35
20260429;133000;164500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;4;NULL;35
20260506;133000;164500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;4;NULL;35
20260513;133000;164500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;4;NULL;35
20260520;133000;164500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;4;NULL;35
20250925;133000;153000;Activerend hoorcollege;PBA-MET/2A;PBA-MET;3;laptoplokaal;25;52.11;3;4;5
20250925;133000;153000;Activerend hoorcollege;PBA-MET/2B;PBA-MET;3;laptoplokaal;25;52.11;3;4;4
20250925;133000;153000;Activerend hoorcollege;PBA-MET/2C;PBA-MET;3;laptoplokaal;25;52.11;3;1;3
20250925;133000;153000;Activerend hoorcollege;PBA-MET/2D;PBA-MET;3;laptoplokaal;25;52.11;3;4;4
20251016;81500;101500;Activerend hoorcollege;PBA-MET/2A;PBA-MET;2;laptoplokaal;25;55.89;3;0;5
20251016;81500;101500;Activerend hoorcollege;PBA-MET/2B;PBA-MET;2;laptoplokaal;25;55.89;3;0;4
20251016;81500;101500;Activerend hoorcollege;PBA-MET/2C;PBA-MET;2;laptoplokaal;25;55.89;3;0;3
20251016;81500;101500;Activerend hoorcollege;PBA-MET/2D;PBA-MET;2;laptoplokaal;25;55.89;3;0;4
20251009;133000;153000;Activerend hoorcollege;PBA-MET/2A;PBA-MET;2;laptoplokaal;28;56.23;3;3;5
20251009;133000;153000;Activerend hoorcollege;PBA-MET/2B;PBA-MET;2;laptoplokaal;28;56.23;3;4;4
20251009;133000;153000;Activerend hoorcollege;PBA-MET/2C;PBA-MET;2;laptoplokaal;28;56.23;3;2;3
20251009;133000;153000;Activerend hoorcollege;PBA-MET/2D;PBA-MET;2;laptoplokaal;28;56.23;3;2;4
20251023;133000;173000;Oefensessie;PBA-MET/2A;PBA-MET;2;laptoplokaal;25;55.89;3;4;5
20251023;133000;173000;Oefensessie;PBA-MET/2B;PBA-MET;2;laptoplokaal;25;55.89;3;3;4
20251023;133000;173000;Oefensessie;PBA-MET/2C;PBA-MET;2;laptoplokaal;25;55.89;3;3;3
20251023;133000;173000;Oefensessie;PBA-MET/2D;PBA-MET;2;laptoplokaal;25;55.89;3;4;4
20251113;133000;170000;Oefensessie;PBA-MET/2A;PBA-MET;2;laptoplokaal;25;55.89;3;0;5
20251113;133000;170000;Oefensessie;PBA-MET/2B;PBA-MET;2;laptoplokaal;25;55.89;3;0;4
20251113;133000;170000;Oefensessie;PBA-MET/2C;PBA-MET;2;laptoplokaal;25;55.89;3;0;3
20251113;133000;170000;Oefensessie;PBA-MET/2D;PBA-MET;2;laptoplokaal;25;55.89;3;0;4
20251125;133000;170000;Oefensessie;PBA-MET/2A;PBA-MET;2;laptoplokaal;24;56.02;3;0;5
20251125;133000;170000;Oefensessie;PBA-MET/2B;PBA-MET;2;laptoplokaal;24;56.02;3;0;4
20251125;133000;170000;Oefensessie;PBA-MET/2C;PBA-MET;2;laptoplokaal;24;56.02;3;1;3
20251125;133000;170000;Oefensessie;PBA-MET/2D;PBA-MET;2;laptoplokaal;24;56.02;3;0;4
20260316;81500;123000;Activerend hoorcollege;GRAD-SYS1-GENT/DAG/1F1;GRAD-SYS1-GENT;4;laptoplokaal;42;88.68;5;NULL;9
20260323;81500;123000;Activerend hoorcollege;GRAD-SYS1-GENT/DAG/1F1;GRAD-SYS1-GENT;4;laptoplokaal;42;88.68;5;NULL;9
20260330;81500;123000;Activerend hoorcollege;GRAD-SYS1-GENT/DAG/1F1;GRAD-SYS1-GENT;4;laptoplokaal;42;88.68;5;NULL;9
20260420;81500;123000;Activerend hoorcollege;GRAD-SYS1-GENT/DAG/1F1;GRAD-SYS1-GENT;4;laptoplokaal;42;88.68;5;NULL;9
20260427;81500;123000;Activerend hoorcollege;GRAD-SYS1-GENT/DAG/1F1;GRAD-SYS1-GENT;4;laptoplokaal;42;88.68;5;NULL;9
20260504;81500;123000;Activerend hoorcollege;GRAD-SYS1-GENT/DAG/1F1;GRAD-SYS1-GENT;4;laptoplokaal;42;88.68;5;NULL;9
20260511;81500;123000;Activerend hoorcollege;GRAD-SYS1-GENT/DAG/1F1;GRAD-SYS1-GENT;4;laptoplokaal;42;88.68;5;NULL;9
20260518;81500;123000;Activerend hoorcollege;GRAD-SYS1-GENT/DAG/1F1;GRAD-SYS1-GENT;4;laptoplokaal;42;88.68;5;NULL;9
20260209;183000;220000;Activerend hoorcollege;GRAD-SYS1-GENT/AVOND/3A;GRAD-SYS1-GENT;4;practicum;72;146.63;6;NULL;13
20260223;183000;220000;Activerend hoorcollege;GRAD-SYS1-GENT/AVOND/3A;GRAD-SYS1-GENT;4;practicum;72;146.63;6;NULL;13
20260302;183000;220000;Activerend hoorcollege;GRAD-SYS1-GENT/AVOND/3A;GRAD-SYS1-GENT;4;practicum;72;146.63;6;NULL;13
20260309;183000;220000;Activerend hoorcollege;GRAD-SYS1-GENT/AVOND/3A;GRAD-SYS1-GENT;4;practicum;72;146.63;6;NULL;13
20260316;183000;220000;Activerend hoorcollege;GRAD-SYS1-GENT/AVOND/3A;GRAD-SYS1-GENT;4;practicum;72;146.63;6;NULL;13
20260323;183000;220000;Activerend hoorcollege;GRAD-SYS1-GENT/AVOND/3A;GRAD-SYS1-GENT;4;practicum;72;146.63;6;NULL;13
20260330;183000;220000;Activerend hoorcollege;GRAD-SYS1-GENT/AVOND/3A;GRAD-SYS1-GENT;4;practicum;72;146.63;6;NULL;13
20260420;183000;220000;Activerend hoorcollege;GRAD-SYS1-GENT/AVOND/3A;GRAD-SYS1-GENT;4;practicum;72;146.63;6;NULL;13
20260427;183000;220000;Activerend hoorcollege;GRAD-SYS1-GENT/AVOND/3A;GRAD-SYS1-GENT;4;practicum;72;146.63;6;NULL;13
20260504;183000;220000;Activerend hoorcollege;GRAD-SYS1-GENT/AVOND/3A;GRAD-SYS1-GENT;4;practicum;72;146.63;6;NULL;13
20260511;183000;220000;Activerend hoorcollege;GRAD-SYS1-GENT/AVOND/3A;GRAD-SYS1-GENT;4;practicum;72;146.63;6;NULL;13
20260518;183000;220000;Activerend hoorcollege;GRAD-SYS1-GENT/AVOND/3A;GRAD-SYS1-GENT;4;practicum;72;146.63;6;NULL;13
20260226;154500;174500;Activerend hoorcollege;GRAD-JURA/DAG/1B;GRAD-JURA;3;PC-klas;60;105.44;3;NULL;67
20260305;154500;174500;Activerend hoorcollege;GRAD-JURA/DAG/1B;GRAD-JURA;3;PC-klas;60;105.44;3;NULL;67
20260319;154500;174500;Activerend hoorcollege;GRAD-JURA/DAG/1B;GRAD-JURA;3;PC-klas;60;105.44;3;NULL;67
20260226;133000;153000;Activerend hoorcollege;GRAD-JURA/DAG/1A;GRAD-JURA;3;PC-klas;60;105.44;3;NULL;80
20260305;133000;153000;Activerend hoorcollege;GRAD-JURA/DAG/1A;GRAD-JURA;3;PC-klas;60;105.44;3;NULL;80
20260319;133000;153000;Activerend hoorcollege;GRAD-JURA/DAG/1A;GRAD-JURA;3;PC-klas;60;105.44;3;NULL;80
20260330;81500;101500;Activerend hoorcollege;PBA-CH-BCH/2A;PBA-CH-BCH;4;leslokaal;50;70.08;4;NULL;17
20260330;81500;101500;Activerend hoorcollege;PBA-CH-BCH/2B;PBA-CH-BCH;4;leslokaal;50;70.08;4;NULL;15
20260210;103000;123000;Activerend hoorcollege;GRAD-JURA/DAG/1B;GRAD-JURA;1;auditorium;153;161.88;5;NULL;65
20260217;103000;123000;Activerend hoorcollege;GRAD-JURA/DAG/1B;GRAD-JURA;1;auditorium;153;161.88;5;NULL;65
20260224;103000;123000;Activerend hoorcollege;GRAD-JURA/DAG/1B;GRAD-JURA;1;auditorium;153;161.88;5;NULL;65
20260210;91500;101500;Activerend hoorcollege;GRAD-JURA/DAG/1B;GRAD-JURA;1;auditorium;153;161.88;5;NULL;65
20260217;91500;101500;Activerend hoorcollege;GRAD-JURA/DAG/1B;GRAD-JURA;1;auditorium;153;161.88;5;NULL;65
20260224;91500;101500;Activerend hoorcollege;GRAD-JURA/DAG/1B;GRAD-JURA;1;auditorium;153;161.88;5;NULL;65
20260519;91500;101500;Activerend hoorcollege;GRAD-JURA/DAG/1A;GRAD-JURA;1;auditorium;153;161.88;5;NULL;80
20260519;103000;123000;Activerend hoorcollege;GRAD-JURA/DAG/1A;GRAD-JURA;1;auditorium;153;161.88;5;NULL;80
20260225;180000;200000;Oefensessie;PBA-VG-VG/AO/2;PBA-VG-VG;2;leslokaal;35;55.93;3;NULL;18
20260304;180000;200000;Oefensessie;PBA-VG-VG/AO/2;PBA-VG-VG;2;leslokaal;35;55.93;3;NULL;18
20260311;180000;200000;Oefensessie;PBA-VG-VG/AO/2;PBA-VG-VG;2;leslokaal;35;55.93;3;NULL;18
20260318;180000;200000;Oefensessie;PBA-VG-VG/AO/2;PBA-VG-VG;2;leslokaal;35;55.93;3;NULL;18
20260422;180000;200000;Oefensessie;PBA-VG-VG/AO/2;PBA-VG-VG;2;leslokaal;35;55.93;3;NULL;18
20260506;180000;200000;Oefensessie;PBA-VG-VG/AO/2;PBA-VG-VG;2;leslokaal;35;55.93;3;NULL;18
20260213;133000;153000;Activerend hoorcollege;PBA-BM-MK/1SEM2;PBA-BM-MK;3;leslokaal;60;73.80;3;NULL;6
20260220;133000;153000;Activerend hoorcollege;PBA-BM-MK/1SEM2;PBA-BM-MK;3;leslokaal;60;73.80;3;NULL;6
20260227;133000;153000;Activerend hoorcollege;PBA-BM-MK/1SEM2;PBA-BM-MK;3;leslokaal;60;73.80;3;NULL;6
20260306;133000;153000;Activerend hoorcollege;PBA-BM-MK/1SEM2;PBA-BM-MK;3;leslokaal;60;73.80;3;NULL;6
20260313;133000;153000;Activerend hoorcollege;PBA-BM-MK/1SEM2;PBA-BM-MK;3;leslokaal;60;73.80;3;NULL;6
20260320;133000;153000;Activerend hoorcollege;PBA-BM-MK/1SEM2;PBA-BM-MK;3;leslokaal;60;73.80;3;NULL;6
20260327;133000;153000;Activerend hoorcollege;PBA-BM-MK/1SEM2;PBA-BM-MK;3;leslokaal;60;73.80;3;NULL;6
20260403;133000;153000;Activerend hoorcollege;PBA-BM-MK/1SEM2;PBA-BM-MK;3;leslokaal;60;73.80;3;NULL;6
20260424;133000;153000;Activerend hoorcollege;PBA-BM-MK/1SEM2;PBA-BM-MK;3;leslokaal;60;73.80;3;NULL;6
20260508;133000;153000;Activerend hoorcollege;PBA-BM-MK/1SEM2;PBA-BM-MK;3;leslokaal;60;73.80;3;NULL;6
20260522;133000;153000;Activerend hoorcollege;PBA-BM-MK/1SEM2;PBA-BM-MK;3;leslokaal;60;73.80;3;NULL;6
20251001;91500;101500;Activerend hoorcollege;BNB-IBM/1;BNB-IBM;4;leslokaal;56;111.62;8;21;33
20251024;91500;174500;Activerend hoorcollege;BNB-IBM/1;BNB-IBM;0;auditorium;107;110.25;11;24;33
20251120;91500;101500;Activerend hoorcollege;BNB-IBM/1;BNB-IBM;0;auditorium;107;110.25;2;26;33
20251124;91500;123000;Activerend hoorcollege;BNB-IBM/1;BNB-IBM;0;auditorium;107;110.25;2;2;33
20251201;91500;123000;Practicum;BNB-IBM/1;BNB-IBM;0;auditorium;107;110.25;11;4;33
20251202;91500;130000;Practicum;BNB-IBM/1;BNB-IBM;3;leslokaal;34;52.58;11;9;33
20251202;130000;163000;Practicum;BNB-IBM/1;BNB-IBM;2;leslokaal;52;73.68;11;19;33
20251204;91500;123000;Practicum;BNB-IBM/1;BNB-IBM;0;auditorium;107;110.25;11;2;33
20251204;133000;164500;Activerend hoorcollege;BNB-IBM/1;BNB-IBM;0;auditorium;107;110.25;2;26;33
20251208;133000;153000;Activerend hoorcollege;BNB-IBM/1;BNB-IBM;2;leslokaal;52;73.68;3;11;33
20251209;91500;130000;Practicum;BNB-IBM/1;BNB-IBM;3;leslokaal;34;52.58;11;5;33
20251209;130000;153000;Practicum;BNB-IBM/1;BNB-IBM;2;leslokaal;52;73.68;11;1;33
20251210;154500;174500;Activerend hoorcollege;BNB-IBM/1;BNB-IBM;3;PC-klas;60;105.44;3;11;28
20251210;154500;174500;Activerend hoorcollege;BNB-IBM/1;BNB-IBM;3;leslokaal;34;52.63;3;0;5
20260226;180000;220000;Activerend hoorcollege;PBA-VEB/AVOND/3B;PBA-VEB;2;leslokaal;76;94.26;3;NULL;5
20260223;103000;123000;Practicum;PBA-RM-RM/3;PBA-RM-RM;4;leslokaal;56;111.62;10;NULL;17
20251211;133000;143000;Activerend hoorcollege;PBA-MET/2A;PBA-MET;2;laptoplokaal;24;56.02;9;2;3
20251211;133000;143000;Activerend hoorcollege;PBA-MET/2B;PBA-MET;2;laptoplokaal;24;56.02;9;2;4
20251211;133000;143000;Activerend hoorcollege;PBA-MET/2C;PBA-MET;2;laptoplokaal;24;56.02;9;2;3
20251211;133000;143000;Activerend hoorcollege;PBA-MET/2D;PBA-MET;2;laptoplokaal;24;56.02;9;3;4
20260316;154500;174500;Activerend hoorcollege;PBA-VG-LAM/1A;PBA-VG-LAM;3;auditorium;101;118.11;3;NULL;22
20260316;154500;174500;Activerend hoorcollege;PBA-VG-LAM/1C;PBA-VG-LAM;3;auditorium;101;118.11;3;NULL;25
20260316;154500;174500;Activerend hoorcollege;PBA-VG-LAM/1B2;PBA-VG-LAM;3;auditorium;101;118.11;3;NULL;17
20260316;154500;174500;Activerend hoorcollege;PBA-VG-LAM/1B1;PBA-VG-LAM;3;auditorium;101;118.11;3;NULL;16
20260316;154500;174500;Activerend hoorcollege;PBA-VG-LAM/VT/BKT/1;PBA-VG-LAM;3;auditorium;101;118.11;3;NULL;3
20260209;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;27
20260209;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C2;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;25
20260223;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;27
20260223;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C2;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;25
20260302;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;27
20260302;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C2;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;25
20260309;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;27
20260309;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C2;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;25
20260316;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;27
20260316;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C2;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;25
20260323;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;27
20260323;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C2;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;25
20260330;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;27
20260330;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C2;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;25
20260420;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;27
20260420;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C2;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;25
20260427;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;27
20260427;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C2;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;25
20260504;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;27
20260504;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C2;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;25
20260511;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;27
20260511;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C2;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;25
20260518;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C1;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;27
20260518;133000;174500;Activerend hoorcollege;PBA-TIN-TI/2C2;PBA-TIN-TI;4;practicum;72;146.63;8;NULL;25
20250930;180000;200000;Activerend hoorcollege;PBA-BM-AF/3A;PBA-BM-AF;3;laptoplokaal;68;168.84;3;0;9
20250930;180000;200000;Activerend hoorcollege;PBA-BM-AF/3B;PBA-BM-AF;3;laptoplokaal;68;168.84;3;1;9
20250930;180000;200000;Activerend hoorcollege;PBA-BM-FV/3A1;PBA-BM-FV;3;laptoplokaal;68;168.84;3;0;3
20250930;180000;200000;Activerend hoorcollege;PBA-BM-FV/3A2;PBA-BM-FV;3;laptoplokaal;68;168.84;3;0;3
20250930;180000;200000;Activerend hoorcollege;PBA-BM-SCM/3A;PBA-BM-SCM;3;laptoplokaal;68;168.84;3;0;10
20250930;180000;200000;Activerend hoorcollege;PBA-BM-MK/3A1;PBA-BM-MK;3;laptoplokaal;68;168.84;3;0;5
20250930;180000;200000;Activerend hoorcollege;PBA-BM-MK/3A2;PBA-BM-MK;3;laptoplokaal;68;168.84;3;0;1
20250930;180000;200000;Activerend hoorcollege;PBA-BM-RE/3A;PBA-BM-RE;3;laptoplokaal;68;168.84;3;0;7
20251216;130000;190000;Activerend hoorcollege;PBA-BM-AF/3A;PBA-BM-AF;3;laptoplokaal;27;77.39;3;6;9
20251216;130000;190000;Activerend hoorcollege;PBA-BM-AF/3B;PBA-BM-AF;3;laptoplokaal;27;77.39;3;5;9
20251216;130000;190000;Activerend hoorcollege;PBA-BM-FV/3A1;PBA-BM-FV;3;laptoplokaal;27;77.39;3;1;3
20251216;130000;190000;Activerend hoorcollege;PBA-BM-FV/3A2;PBA-BM-FV;3;laptoplokaal;27;77.39;3;1;3
20251216;130000;190000;Activerend hoorcollege;PBA-BM-SCM/3A;PBA-BM-SCM;3;laptoplokaal;27;77.39;3;10;10
20251216;130000;190000;Activerend hoorcollege;PBA-BM-MK/3A1;PBA-BM-MK;3;laptoplokaal;27;77.39;3;5;5
20251216;130000;190000;Activerend hoorcollege;PBA-BM-MK/3A2;PBA-BM-MK;3;laptoplokaal;27;77.39;3;1;1
20251216;130000;190000;Activerend hoorcollege;PBA-BM-RE/3A;PBA-BM-RE;3;laptoplokaal;27;77.39;3;5;7
20260217;180000;200000;Activerend hoorcollege;PBA-BM-AF/3SEM2;PBA-BM-AF;4;laptoplokaal;66;167.16;3;NULL;13
20260512;130000;190000;Activerend hoorcollege;PBA-BM-AF/3SEM2;PBA-BM-AF;3;leslokaal;60;73.80;3;NULL;13
